province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Hamedan,2009,12,1.0,1.0,,,MM
Hamedan,2010,1,0.0,0.0,,,MM
Hamedan,2010,2,1.0,1.0,,,MM
Hamedan,2010,3,0.0,0.0,,,MM
Hamedan,2010,4,0.0,0.0,,,MM
Hamedan,2010,5,0.0,0.0,,,MM
Hamedan,2010,6,0.0,0.0,,,MM
Hamedan,2010,7,0.0,0.0,,,MM
Hamedan,2010,8,0.0,0.0,,,MM
Hamedan,2010,9,0.0,0.0,,,MM
Hamedan,2010,10,0.0,0.0,,,MM
Hamedan,2010,11,0.0,0.0,,,MM
Hamedan,2010,12,0.0,0.0,,,MM
Hamedan,2011,1,0.0,0.0,,,MM
Hamedan,2011,2,0.0,0.0,,,MM
Hamedan,2011,3,1.0,1.0,,,MM
Hamedan,2011,4,0.0,0.0,,,MM
Hamedan,2011,5,0.0,0.0,,,MM
Hamedan,2011,6,0.0,0.0,,,MM
Hamedan,2011,7,0.0,0.0,,,MM
Hamedan,2011,8,0.0,0.0,,,MM
Hamedan,2011,9,0.0,0.0,,,MM
Hamedan,2011,10,0.0,0.0,,,MM
Hamedan,2011,11,0.0,0.0,,,MM
Hamedan,2011,12,0.0,0.0,,,MM
Hamedan,2012,1,0.0,0.0,,,MM
Hamedan,2012,2,0.0,0.0,,,MM
Hamedan,2012,3,0.0,0.0,,,MM
Hamedan,2012,4,0.0,0.0,,,MM
Hamedan,2012,5,0.0,0.0,,,MM
Hamedan,2012,6,0.0,0.0,,,MM
Hamedan,2012,7,0.0,0.0,,,MM
Hamedan,2012,8,0.0,0.0,,,MM
Hamedan,2012,9,0.0,0.0,,,MM
Hamedan,2012,10,0.0,0.0,,,MM
Hamedan,2012,11,0.0,0.0,,,MM
Hamedan,2012,12,0.0,0.0,,,MM
Hamedan,2013,1,0.0,0.0,,,MM
Hamedan,2013,2,0.0,0.0,,,MM
Hamedan,2013,3,0.0,0.0,,,MM
Hamedan,2013,4,0.0,0.0,,,MM
Hamedan,2013,5,0.0,0.0,,,MM
Hamedan,2013,6,0.0,0.0,,,MM
Hamedan,2013,7,0.0,0.0,,,MM
Hamedan,2013,8,0.0,0.0,,,MM
Hamedan,2013,9,0.0,0.0,,,MM
Hamedan,2013,10,0.0,0.0,,,MM
Hamedan,2013,11,0.0,0.0,,,MM
Hamedan,2013,12,0.0,0.0,,,MM
Hamedan,2014,1,0.0,0.0,,,MM
Hamedan,2014,2,0.0,0.0,,,MM
Hamedan,2014,3,0.0,0.0,,,MM
Hamedan,2014,4,0.0,0.0,,,MM
Hamedan,2014,5,0.0,0.0,,,MM
Hamedan,2014,6,0.0,0.0,,,MM
Hamedan,2014,7,0.0,0.0,,,MM
Hamedan,2014,8,0.0,0.0,,,MM
Hamedan,2014,9,0.0,0.0,,,MM
Hamedan,2014,10,0.0,0.0,,,MM
Hamedan,2014,11,0.0,0.0,,,MM
Hamedan,2014,12,0.0,0.0,,,MM
Hamedan,2015,1,0.0,0.0,,,MM
Hamedan,2015,2,0.0,0.0,,,MM
Hamedan,2015,3,0.0,0.0,,,MM
Hamedan,2015,4,0.0,0.0,,,MM
Hamedan,2015,5,0.0,0.0,,,MM
Hamedan,2015,6,0.0,0.0,,,MM
Hamedan,2015,7,0.0,0.0,,,MM
Hamedan,2015,8,0.0,0.0,,,MM
Hamedan,2015,9,0.0,0.0,,,MM
Hamedan,2015,10,0.0,0.0,,,MM
Hamedan,2015,11,0.0,0.0,,,MM
Hamedan,2015,12,0.0,0.0,,,MM
Hamedan,2016,1,0.0,0.0,1.0,1.0,MM+ACLED
Hamedan,2016,2,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2016,3,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2016,4,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2016,5,0.0,0.0,2.0,1.0,MM+ACLED
Hamedan,2016,6,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2016,7,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2016,8,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2016,9,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2016,10,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2016,11,0.0,0.0,0.0,0.0,MM+ACLED
