province;year;month;n_events_mm;onset_mm;n_events_acled;onset_acled;source;price_usd_2015;benchmark_2015_adj;bmgap2015adj;price_growth_3m;fuel_dependency_hbsir;subsidy_x_fueldep_hbsir;onset;time_id;brent_shock;unemployment_rate;inflation_rate;s_t;s_dummy;brent_x_fueldep;bmgap_c;fueldep_c;subsidy_x_fueldep_c;brent_x_fueldep_c;urbanization_cluster
Khuzestan;2005;9;0;0;NA;NA;MM;0.1077049428;1.026.718.397;-0.9190134541;-0.0116957483;0.1557177202544304;-0.1431066799556016;0;200509;NA;13. Feb;13.433.118.008.508;0.187768689560804;0;NA;-0.47916459060723954;-0.06822788630322402;0.032692387208481624;NA;2
Khuzestan;2005;10;0;0;NA;NA;MM;0.1069896969;0.7593737557;-0.6523840587;-0.01457069295;0.1557177202544304;-0.10158775835109651;0;200510;NA;13. Feb;13.433.118.008.508;0.108752259289894;0;NA;-0.21253519520723957;-0.06822788630322402;0.014500827134033063;NA;2
Khuzestan;2005;11;0;0;NA;NA;MM;0.1064920178;0.5861320925;-0.4796400747;-0.01426726194;0.1557177202544304;-0.07468845897494869;0;200511;NA;13. Feb;13.433.118.008.508;0.108752259289894;0;NA;-0.039791211207239496;-0.06822788630322402;0.0027148702341151095;NA;2
Khuzestan;2005;12;0;0;NA;NA;MM;0.1061682882;0.5914646778;-0.4852963896;-0.01137194449;0.1557177202544304;-0.07556924743621786;0;200512;NA;13. Feb;13.433.118.008.508;0.108752259289894;0;NA;-0.04544752610723951;-0.06822788630322402;0.0031007886440075428;NA;2
Khuzestan;2006;1;0;0;NA;NA;MM;0.105773016;0.6642466696;-0.5584736536;-0.01090493959;0.18705723903435187;-0.10446653971584302;0;200601;8.566.894.849.112.230;12. Sep;100.158.982.511.924;0.51934236611656;0;16.024.996.975.725.400;-0.11862479010723953;-0.036888367523302545;0.004375874854850476;-0.31601876572753973;2
Khuzestan;2006;2;0;0;NA;NA;MM;0.1053307288;0.6142799914;-0.5089492625;-0.01296969589;0.18705723903435187;-0.0952026438518196;0;200602;4.251.970.245.937.640;12. Sep;100.158.982.511.924;0.51934236611656;0;0.7953618146613094;-0.06910039900723958;-0.036888367523302545;0.002549000914585904;-0.15684824113029486;2
Khuzestan;2006;3;0;0;NA;NA;MM;0.1047913178;0.6077752943;-0.5029839766;-0.01275345894;0.18705723903435187;-0.09408679394131506;0;200603;487.883.618.796.662;12. Sep;100.158.982.511.924;0.51934236611656;0;0.9126216270219181;-0.06313511310723957;-0.036888367523302545;0.002328951255925129;-0.17997230238770104;2
Khuzestan;2006;4;0;0;NA;NA;MM;0.1044240442;0.7109336431;-0.6065095989;-0.0123407696;0.18705723903435187;-0.11345201101806618;0;200604;12.327.367.149.758.400;12. Sep;100.158.982.511.924;0.484815529618397;0;23.059.232.635.965.800;-0.16666073540723952;-0.036888367523302545;0.0061478424594061335;-0.45473645001497687;2
Khuzestan;2006;5;0;0;NA;NA;MM;0.1040308666;0.7821085515;-0.678077685;-0.01150325648;0.18705723903435187;-0.12683933960690494;0;200605;10.312.974.465.148.300;12. Sep;100.158.982.511.924;0.484815529618397;0;19.291.165.296.824.200;-0.2382288215072395;-0.036888367523302545;0.008787872322402293;-0.3804287923288279;2
Khuzestan;2006;6;0;0;NA;NA;MM;0.1035858764;0.7512764204;-0.6476905441;-0.01123691879;0.18705723903435187;-0.12115520492800314;0;200606;7.330.968.536.294.640;12. Sep;100.158.982.511.924;0.484815529618397;0;13.713.107.338.469.700;-0.20784168060723957;-0.036888367523302545;0.007666940300900716;-0.27042746166860404;2
Khuzestan;2006;7;0;0;NA;NA;MM;0.1032506397;0.8026158657;-0.699365226;-0.01007516683;0.18705723903435187;-0.1308213282521955;0;200607;11.265.898.189.974.200;12. Sep;100.158.982.511.924;0.42925078373107;0;2.107.367.810.658.690;-0.2595163625072395;-0.036888367523302545;0.009573134958477662;-0.41558059291188043;2
