Months,Price_raw,unit_raw,source,price_usd_per_liter,fx_rial_per_usd,notes,benchmark_price_usd_per_gallon,benchmark_usd_per_liter_ross,cpi,deflator,price_usd_2015,benchmark_usd_2015,bmgap2015adj
2012-02,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.044,0.9042272127,228.33,1.04,0.3386573124,0.9385739782,0.5655699003
2012-03,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.167,0.9367239102,228.81,1.04,0.3379498244,0.9702738122,0.5987740857
2012-04,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.206,0.9470277411,229.19,1.03,0.3373894919,0.9793202437,0.6096382492
2012-05,4000,rial_per_liter,ross/iran_rial_series,0.3277613897,12204,converted from rial using BIS end-of-period IRR/USD,2.877,0.8601056803,228.71,1.04,0.3396400943,0.8912775682,0.520465586
2012-06,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.602,0.7874504624,228.52,1.04,0.3383683354,0.8166640461,0.4490821269
2012-07,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.747,0.8257595773,228.59,1.04,0.3382706395,0.8561471251,0.4874889378
2012-08,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.022,0.8984147952,229.92,1.03,0.3363167976,0.9260958398,0.5620979976
2012-09,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.27,0.9639365918,231.02,1.03,0.3347197605,0.9889180362,0.6292168313
2012-10,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.975,0.885997358,231.64,1.02,0.3338195179,0.9065142414,0.5521778401
2012-11,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.817,0.8442536328,231.25,1.02,0.3343810589,0.8652569286,0.5098725739
2012-12,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.727,0.8204755614,231.22,1.03,0.3344215512,0.840989136,0.4860540103
2013-01,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.852,0.8535006605,231.68,1.02,0.3337604422,0.8731104828,0.5197402183
2013-02,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.053,0.9066050198,232.94,1.02,0.3319579349,0.9224262479,0.5746470849
